game_date,strikeouts
2025-03-03,3
2025-03-09,4
2025-03-15,7
2025-03-21,9
2025-03-27,2
2025-04-02,8
2025-04-08,6
2025-04-14,9
2025-04-20,4
2025-04-27,11
2025-05-02,8
2025-05-09,12
2025-05-14,11
2025-05-20,8
2025-05-25,13
2025-05-31,7
2025-06-06,6
2025-06-12,6
2025-06-19,6
2025-06-24,8
2025-06-29,13
2025-07-06,10
2025-07-11,5
2025-07-20,11
2025-07-26,7
2025-08-02,10
2025-08-08,6
2025-08-14,3
2025-08-19,10
2025-08-25,12
2025-08-31,4
2025-09-06,6
2025-09-12,2
2025-09-18,9
2025-09-23,8
2025-09-30,14
